"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"348","RT @katierdolan: Lesther Holt just called @AndrewYang a ""rising star"" on Nightly News. The office cheered. What a way to start our #DemDeba…",FALSE,0,NA,2019-11-20 23:56:20,FALSE,NA,"1197302688934817792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Socrates_Daemon",208,TRUE,FALSE,NA,NA
"349","Can’t wait to watch the #DemDebate with all my #WolfPackforWarren pals tonight in the Lilli Brant Reading room in t… https://t.co/ooMMRHUcI4",FALSE,4,NA,2019-11-20 23:56:18,TRUE,NA,"1197302681540259841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OliviaKomanduri",1,FALSE,FALSE,NA,NA
"350","RT @AntheaMcQuoid: I #EndorseAndrewYang cos this is only the start &amp; he’s the only visionary in the 2020 pres race not only talking about i…",FALSE,0,NA,2019-11-20 23:56:18,FALSE,NA,"1197302678717652993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SabrinaForYang",7,TRUE,FALSE,NA,NA
"351","RT @PagetKagy: Hey #YangGang, we're kicking off debate day with why we #EndorseAndrewYang! I endorse @AndrewYang because he's the only cand…",FALSE,0,NA,2019-11-20 23:56:17,FALSE,NA,"1197302676188303361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiaVaug38791835",713,TRUE,FALSE,NA,NA
"352","RT @ewarren: Donald Trump is the most corrupt president in our lifetimes. In a Warren administration, we’ll root out Washington corruption…",FALSE,0,NA,2019-11-20 23:56:16,FALSE,NA,"1197302670605901832",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AKAReSister",339,TRUE,FALSE,NA,NA
"353","This is the guy every republican you know is destroying their reputation for... notes in sharpie, yelling on the WH… https://t.co/z1ip6wtoQb",FALSE,1,NA,2019-11-20 23:56:15,TRUE,NA,"1197302668420628480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandeemusready",0,FALSE,FALSE,NA,NA
"354","RT @Mrtonytig: I see what u did there @washingtonpost psssst heres a secret....""Automatic monthly giving"" is how us ppl pay for things we c…",FALSE,0,NA,2019-11-20 23:56:13,FALSE,NA,"1197302661554548736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jimenez_rogers",24,TRUE,FALSE,NA,NA
"355","RT @natimontelongo: I was on a flight to Miami headed to the first #demdebate when I came across this photo. It still makes me feel the sam…",FALSE,0,NA,2019-11-20 23:56:12,FALSE,NA,"1197302656810831873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","saramikaila",166,TRUE,FALSE,NA,NA
"356","RT @NPR: Tonight's #DemDebate will be held at Tyler Perry Studios.

It's a sign of the power of Georgia's growing film industry — and an im…",FALSE,0,NA,2019-11-20 23:56:11,FALSE,NA,"1197302652192927744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","olesonjr",79,TRUE,FALSE,NA,NA
"357","RT @AshleyBC137: Don't forget to send Dad a quick 27 tonight for the debate <U+0001F60E> #DemocraticDebate #DemDebate #DemDebate5 #NotMeUs https://t.c…",FALSE,0,NA,2019-11-20 23:56:10,FALSE,NA,"1197302647667093504",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LA_Crystal",16,TRUE,FALSE,NA,NA
"358","RT @PagetKagy: Hey #YangGang, we're kicking off debate day with why we #EndorseAndrewYang! I endorse @AndrewYang because he's the only cand…",FALSE,0,NA,2019-11-20 23:56:09,FALSE,NA,"1197302641832927232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaMonCortez4",713,TRUE,FALSE,NA,NA
"359","RT @cmclymer: Tonight, for Transgender Day of Remembrance, I'll be making a donation to every Democratic candidate onstage who specifically…",FALSE,0,NA,2019-11-20 23:56:09,FALSE,NA,"1197302640943742977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parmesansmama",190,TRUE,FALSE,NA,NA
"360","RT @TheYoungTurks: The #DemDebate in Atlanta is happening tonight! Join @AnaKasparian, @johniadarola, @JayarJackson, and @FunnyAida as they…",FALSE,0,NA,2019-11-20 23:56:08,FALSE,NA,"1197302638309543937",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","detous",20,TRUE,FALSE,NA,NA
"361","RT @AtlantaYang: And yes, we have a juggler for Yang... #DemDebate https://t.co/3ktfzApjAp",FALSE,0,NA,2019-11-20 23:56:06,FALSE,NA,"1197302631624052737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wlee_nyc",10,TRUE,FALSE,NA,NA
"362","RT @ItsOnUs: WOW. 

According to @TIMESUPNOW, out of more than 4,000 questions in 127 primary debates from 1996 to today NOT ONE has asked…",FALSE,0,NA,2019-11-20 23:56:06,FALSE,NA,"1197302628914466818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdespins",58,TRUE,FALSE,NA,NA
"363","RT @WaywardWinifred: Feelin' cute getting ready for #DemDebate 5 in Atlanta <U+0001F47B><U+0001F9B9><U+200D><U+2640><U+FE0F> https://t.co/8Z4KsKumYB",FALSE,0,NA,2019-11-20 23:56:05,FALSE,NA,"1197302628021129216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","312shelly3",7,TRUE,FALSE,NA,NA
"364","RT @katierdolan: Lesther Holt just called @AndrewYang a ""rising star"" on Nightly News. The office cheered. What a way to start our #DemDeba…",FALSE,0,NA,2019-11-20 23:56:04,FALSE,NA,"1197302622606114816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blackbelt_jp",208,TRUE,FALSE,NA,NA
"365","RT @ginntroy: I proudly endorse Senator Bernie Sanders for POTUS.

Pass it on!

#DemDebate #Bernie2020",FALSE,0,NA,2019-11-20 23:56:03,FALSE,NA,"1197302618852220928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Miguelcardsfan",10,TRUE,FALSE,NA,NA
"366","RT @PolitiFact: You can read in-depth profiles and watch videos about the background, voting histories and policy plans of each candidate h…",FALSE,0,NA,2019-11-20 23:56:03,FALSE,NA,"1197302618491695104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheTopLife",10,TRUE,FALSE,NA,NA
