"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1189","RT @Meena_smaj: <U+0938><U+092D><U+0940> <U+0938><U+0917><U+093E><U+091C><U+0928><U+094B><U+0902> <U+0938><U+0947> <U+0905><U+092A><U+0940><U+0932> <U+0939><U+0948> <U+0915><U+0940> <U+0915><U+093F><U+0938><U+0940> <U+092D><U+0940> <U+092E><U+0941><U+0926><U+094D><U+0926><U+0947> <U+092A><U+0930> <U+0905><U+092A><U+0928><U+0940> <U+092C><U+0939><U+0938>, <U+0938><U+0939><U+092E><U+0924><U+093F>, <U+0905><U+0938><U+0939><U+092E><U+0924><U+093F> <U+0939><U+092E><U+0947><U+0936><U+093E> <U+0938><U+0902><U+0938><U+0926><U+0940><U+092F> <U+092D><U+093E><U+0937><U+093E> <U+092E><U+0947> <U+0939><U+0940> <U+0939><U+094B><U+0928><U+0940> <U+091A><U+093E><U+0939><U+093F><U+090F>, <U+0905><U+092A><U+0928><U+0940> <U+092D><U+093E><U+0937><U+093E> <U+0915><U+0940> <U+0917><U+0930><U+093F><U+092E><U+093E>…",FALSE,0,NA,2019-12-11 16:40:46,FALSE,NA,"1204803220435943425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meenadhara94",31,TRUE,FALSE,NA,NA
"1190","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:38:03,FALSE,NA,"1204802538374975493",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DotheMATH18",529,TRUE,FALSE,NA,NA
"1191","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:37:32,FALSE,NA,"1204802404492836864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","socalivan",529,TRUE,FALSE,NA,NA
"1192","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:36:12,FALSE,NA,"1204802069410066433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nik_eni",529,TRUE,FALSE,NA,NA
"1193","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:32:10,FALSE,NA,"1204801054660911104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peterwsf",529,TRUE,FALSE,NA,NA
"1194","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:28:53,FALSE,NA,"1204800230107099137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3MC2OG",529,TRUE,FALSE,NA,NA
"1195","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:28:33,FALSE,NA,"1204800147055665153",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","memes_yang",529,TRUE,FALSE,NA,NA
"1196","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 16:27:55,FALSE,NA,"1204799988066242560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christo50881821",529,TRUE,FALSE,NA,NA
"1197","Recent Polling

Gabbard 2 Gabbard 5 Gabbard 3 

#Gabbard has said that she will not attend the debate even if she m… https://t.co/4VEHALpVCE",FALSE,0,NA,2019-12-11 16:22:15,TRUE,NA,"1204798559423303681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CalciteAsh",0,FALSE,FALSE,NA,NA
"1198","@TulsiGabbard @GovMikeHuckabee Recent Polling

Gabbard 2 Gabbard 5 Gabbard 3 

#Gabbard has said that she will not… https://t.co/p4FkHiadRk",FALSE,0,"TulsiGabbard",2019-12-11 16:21:43,TRUE,"1204733317188214785","1204798425553764352","26637348","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CalciteAsh",0,FALSE,FALSE,NA,NA
